,country,year,population
0,Afghanistan,2020,38972230.0
1,Afghanistan,2021,40099462.0
2,Afghanistan,2022,41128771.0
3,Afghanistan,2023,42239854.0
4,Albania,2020,2837849.0
5,Albania,2021,2811666.0
6,Albania,2022,2777689.0
7,Albania,2023,2745972.0
8,Algeria,2020,43451666.0
9,Algeria,2021,44177969.0
10,Algeria,2022,44903225.0
11,Algeria,2023,45606480.0
12,American Samoa,2020,46189.0
13,American Samoa,2021,45035.0
14,American Samoa,2022,44273.0
15,American Samoa,2023,43914.0
16,Andorra,2020,77700.0
17,Andorra,2021,79034.0
18,Andorra,2022,79824.0
19,Andorra,2023,80088.0
20,Angola,2020,33428486.0
21,Angola,2021,34503774.0
22,Angola,2022,35588987.0
23,Angola,2023,36684202.0
24,Antigua and Barbuda,2020,92664.0
25,Antigua and Barbuda,2021,93219.0
26,Antigua and Barbuda,2022,93763.0
27,Antigua and Barbuda,2023,94298.0
28,Argentina,2020,45376763.0
29,Argentina,2021,45808747.0
30,Argentina,2022,46234830.0
31,Argentina,2023,46654581.0
32,Armenia,2020,2805608.0
33,Armenia,2021,2790974.0
34,Armenia,2022,2780469.0
35,Armenia,2023,2777970.0
36,Aruba,2020,106585.0
37,Aruba,2021,106537.0
38,Aruba,2022,106445.0
39,Aruba,2023,106277.0
40,Australia,2020,25649248.0
41,Australia,2021,25685412.0
42,Australia,2022,26014399.0
43,Australia,2023,26638544.0
44,Austria,2020,8916864.0
45,Austria,2021,8955797.0
46,Austria,2022,9041851.0
47,Austria,2023,9132383.0
48,Azerbaijan,2020,10093121.0
49,Azerbaijan,2021,10137750.0
50,Azerbaijan,2022,10141756.0
51,Azerbaijan,2023,10112555.0
52,Bahamas,2020,406471.0
53,Bahamas,2021,407906.0
54,Bahamas,2022,409984.0
55,Bahamas,2023,412623.0
56,Bahrain,2020,1477469.0
57,Bahrain,2021,1463265.0
58,Bahrain,2022,1472233.0
59,Bahrain,2023,1485509.0
60,Bangladesh,2020,167420951.0
61,Bangladesh,2021,169356251.0
62,Bangladesh,2022,171186372.0
63,Bangladesh,2023,172954319.0
64,Barbados,2020,280693.0
65,Barbados,2021,281200.0
66,Barbados,2022,281635.0
67,Barbados,2023,281995.0
68,Belarus,2020,9379952.0
69,Belarus,2021,9302585.0
70,Belarus,2022,9228071.0
71,Belarus,2023,9178298.0
72,Belgium,2020,11538604.0
73,Belgium,2021,11586195.0
74,Belgium,2022,11685814.0
75,Belgium,2023,11822592.0
76,Belize,2020,394921.0
77,Belize,2021,400031.0
78,Belize,2022,405272.0
79,Belize,2023,410825.0
80,Benin,2020,12643123.0
81,Benin,2021,12996895.0
82,Benin,2022,13352864.0
83,Benin,2023,13712828.0
84,Bermuda,2020,63893.0
85,Bermuda,2021,63764.0
86,Bermuda,2022,63595.0
87,Bermuda,2023,63489.0
88,Bhutan,2020,772506.0
89,Bhutan,2021,777486.0
90,Bhutan,2022,782455.0
91,Bhutan,2023,787424.0
92,Bolivia,2020,11936162.0
93,Bolivia,2021,12079472.0
94,Bolivia,2022,12224110.0
95,Bolivia,2023,12388571.0
96,Bosnia and Herzegovina,2020,3318407.0
97,Bosnia and Herzegovina,2021,3270943.0
98,Bosnia and Herzegovina,2022,3233526.0
99,Bosnia and Herzegovina,2023,3210847.0
100,Botswana,2020,2546402.0
101,Botswana,2021,2588423.0
102,Botswana,2022,2630296.0
103,Botswana,2023,2675352.0
104,Brazil,2020,213196304.0
105,Brazil,2021,214326223.0
106,Brazil,2022,215313498.0
107,Brazil,2023,216422446.0
108,British Virgin Islands,2020,30910.0
109,British Virgin Islands,2021,31122.0
110,British Virgin Islands,2022,31305.0
111,British Virgin Islands,2023,31538.0
112,Brunei Darussalam,2020,441725.0
113,Brunei Darussalam,2021,445373.0
114,Brunei Darussalam,2022,449002.0
115,Brunei Darussalam,2023,452524.0
116,Bulgaria,2020,6934015.0
117,Bulgaria,2021,6877743.0
118,Bulgaria,2022,6465097.0
119,Bulgaria,2023,6430370.0
120,Burkina Faso,2020,21522626.0
121,Burkina Faso,2021,22100683.0
122,Burkina Faso,2022,22673762.0
123,Burkina Faso,2023,23251485.0
124,Burundi,2020,12220227.0
125,Burundi,2021,12551213.0
126,Burundi,2022,12889576.0
127,Burundi,2023,13238559.0
128,Cabo Verde,2020,582640.0
129,Cabo Verde,2021,587925.0
130,Cabo Verde,2022,593149.0
131,Cabo Verde,2023,598682.0
132,Cambodia,2020,16396860.0
133,Cambodia,2021,16589023.0
134,Cambodia,2022,16767842.0
135,Cambodia,2023,16944826.0
136,Cameroon,2020,26491087.0
137,Cameroon,2021,27198628.0
138,Cameroon,2022,27914536.0
139,Cameroon,2023,28647293.0
140,Canada,2020,38028638.0
141,Canada,2021,38239864.0
142,Canada,2022,38939056.0
143,Canada,2023,40097761.0
144,Cayman Islands,2020,67311.0
145,Cayman Islands,2021,68136.0
146,Cayman Islands,2022,68706.0
147,Cayman Islands,2023,69310.0
148,Central African Republic,2020,5343020.0
149,Central African Republic,2021,5457154.0
150,Central African Republic,2022,5579144.0
151,Central African Republic,2023,5742315.0
152,Chad,2020,16644701.0
153,Chad,2021,17179740.0
154,Chad,2022,17723315.0
155,Chad,2023,18278568.0
156,Chile,2020,19300315.0
157,Chile,2021,19493184.0
158,Chile,2022,19603733.0
159,Chile,2023,19629590.0
160,China,2020,1411100000.0
161,China,2021,1412360000.0
162,China,2022,1412175000.0
163,China,2023,1410710000.0
