date,cases,deaths,recovered,new_cases,new_deaths,new_recovered,active,case_fatality_rate
2020-07-29,17020206,714883,9955448,256116,6022,187268,6349875,4200.201807
2021-06-26,181277309,3946444,,371141,8231,,,2177.020401
2022-05-24,526289686,6305953,,535441,1566,,,1198.190496
2020-07-06,11637987,581048,6286129,192953,4890,152159,4770810,4992.684731
2021-06-03,172658201,3730347,,455976,11023,,,2160.538554
2021-08-11,205276494,4351294,,647058,9788,,,2119.723459
2022-07-09,554821960,6375182,,886080,1776,,,1149.050048
2020-08-21,22991955,856852,14708334,248835,5928,204890,7426769,3726.74703
2021-07-19,191429770,4126722,,519197,7955,,,2155.736801
2022-06-16,537913293,6340479,,536186,1507,,,1178.717664
2021-01-08,89253991,1999240,,702720,12562,,,2239.944654
2021-01-14,93420923,2081531,,714616,13937,,,2228.120782
2022-11-09,633302606,6606981,,353839,1431,,,1043.258142
2021-01-31,103316182,2323276,,537053,14364,,,2248.704854
2022-11-26,640164423,6631357,,422452,1408,,,1035.883401
2022-12-02,643342565,6641093,,488256,1461,,,1032.279436
2022-05-07,517020143,6278942,,512828,2056,,,1214.448235
2020-06-19,8657013,500116,4237275,143130,5213,89907,3919622,5777.004147
2021-02-23,112489170,2585168,,364808,9939,,,2298.148346
2021-05-17,163791308,3530253,,652169,12673,,,2155.335984
2021-10-27,245696943,5002425,,432436,7176,,,2036.014343
2022-01-21,347136555,5619825,,3252697,7960,,,1618.90902
2020-01-25,1437,42,42,218,6,4,1353,2922.755741
2020-04-20,2492584,188660,643543,82282,7385,28015,1660381,7568.852243
2020-12-22,78220738,1797199,,651149,11866,,,2297.599135
2022-03-22,474692060,6133692,,1784633,6868,,,1292.141267
2023-01-11,664096083,6717499,,484155,2384,,,1011.525165
2023-02-17,672354863,6781662,,168930,1207,,,1008.643259
2021-04-01,130051168,2946765,,588854,10865,,,2265.850469
2021-12-12,270471791,5337739,,619946,7206,,,1973.491942
2020-03-05,97369,3349,53778,2190,76,2929,40242,3439.493062
2021-08-28,216532991,4521349,,655853,10093,,,2088.064724
2022-09-30,617317604,6547370,,453185,1483,,,1060.616117
2020-10-20,40850338,1193374,27941118,380766,5670,204498,11715846,2921.33201
2022-03-02,440704701,6002654,,1519282,7914,,,1362.058083
2022-08-15,590781950,6457835,,824359,2445,,,1093.099578
2020-05-30,6071636,402857,2552939,106948,4501,64481,3115840,6635.06508
2020-11-12,52871995,1366570,,579787,8691,299263,,2584.676444
2021-10-10,238485677,4881212,,424396,7115,,,2046.752686
2022-03-25,480031044,6153815,,1661066,6927,,,1281.961881
